number,value,datetime_start,datetime_complete,duration,params_#hidden,params_dense1,params_dense2,params_dense3,params_dense4,params_lambda,state
0,0.30836138129234314,2021-01-14 13:18:39.375602,2021-01-14 13:27:58.507127,0 days 00:09:19.131525,3,160,80,32,,0.00027913514479844154,COMPLETE
1,0.2905559241771698,2021-01-14 13:27:58.625032,2021-01-14 13:37:18.211580,0 days 00:09:19.586548,3,64,112,64,,0.0004268971223779536,COMPLETE
2,0.30746251344680786,2021-01-14 13:37:18.326337,2021-01-14 13:46:36.140705,0 days 00:09:17.814368,3,48,32,32,,0.00015525411810181702,COMPLETE
3,0.3258343040943146,2021-01-14 13:46:36.269443,2021-01-14 13:56:22.518019,0 days 00:09:46.248576,4,224,64,32,64.0,0.0002114125046324832,COMPLETE
4,0.513889491558075,2021-01-14 13:56:22.632508,2021-01-14 14:00:28.209317,0 days 00:04:05.576809,3,64,80,96,,0.027230113230823506,COMPLETE
5,1.0084549188613892,2021-01-14 14:00:28.329704,2021-01-14 14:00:49.163718,0 days 00:00:20.834014,4,240,112,80,16.0,0.0078913401658244,PRUNED
6,0.4422661364078522,2021-01-14 14:00:49.215476,2021-01-14 14:05:24.414516,0 days 00:04:35.199040,4,80,48,48,32.0,0.0003359165190266902,PRUNED
7,1.094252109527588,2021-01-14 14:05:24.467870,2021-01-14 14:05:45.738551,0 days 00:00:21.270681,4,208,32,64,32.0,0.008711128284899722,PRUNED
8,2.411363124847412,2021-01-14 14:05:45.785384,2021-01-14 14:06:06.662222,0 days 00:00:20.876838,4,64,112,80,16.0,0.0014429701008141726,PRUNED
9,0.39549851417541504,2021-01-14 14:06:06.711795,2021-01-14 14:11:26.691500,0 days 00:05:19.979705,3,32,112,128,,0.00012313168852659466,PRUNED
10,2.479799270629883,2021-01-14 14:11:26.738827,2021-01-14 14:11:46.872117,0 days 00:00:20.133290,3,160,64,112,,0.0013906576014536165,PRUNED
11,1.135502815246582,2021-01-14 14:11:46.924704,2021-01-14 14:12:06.550693,0 days 00:00:19.625989,3,240,64,128,,0.00033687123286695226,PRUNED
12,0.3426961302757263,2021-01-14 14:12:06.600359,2021-01-14 14:18:39.056656,0 days 00:06:32.456297,3,64,32,80,,0.00016772609667761403,PRUNED
13,1.631701946258545,2021-01-14 14:18:39.103252,2021-01-14 14:19:00.060830,0 days 00:00:20.957578,4,256,32,112,32.0,0.0007205880758407115,PRUNED
14,0.4056735634803772,2021-01-14 14:19:00.112428,2021-01-14 14:24:13.982831,0 days 00:05:13.870403,4,128,80,96,64.0,0.009932992910452958,PRUNED
15,2.286604881286621,2021-01-14 14:24:14.034389,2021-01-14 14:24:33.816892,0 days 00:00:19.782503,3,224,80,48,,0.0010485053386933003,PRUNED
16,4.518424034118652,2021-01-14 14:24:33.867783,2021-01-14 14:24:55.186934,0 days 00:00:21.319151,4,96,112,128,48.0,0.0032831769411226864,PRUNED
17,1.5849628448486328,2021-01-14 14:24:55.237772,2021-01-14 14:25:15.254746,0 days 00:00:20.016974,3,96,64,112,,0.0008714404433558656,PRUNED
18,1.9378896951675415,2021-01-14 14:25:15.311113,2021-01-14 14:25:36.509538,0 days 00:00:21.198425,4,192,128,64,48.0,0.0064104714922430875,PRUNED
19,0.5207918286323547,2021-01-14 14:25:36.560493,2021-01-14 14:29:13.449276,0 days 00:03:36.888783,4,64,80,112,16.0,0.023255258875991055,PRUNED
20,1.0862414836883545,2021-01-14 14:29:13.497656,2021-01-14 14:29:32.950184,0 days 00:00:19.452528,3,80,112,48,,0.07940156884540005,PRUNED
21,3.613044261932373,2021-01-14 14:29:32.999771,2021-01-14 14:29:54.044145,0 days 00:00:21.044374,4,176,128,128,32.0,0.004799274654790785,PRUNED
22,3.6564645767211914,2021-01-14 14:29:54.112272,2021-01-14 14:30:13.881499,0 days 00:00:19.769227,3,192,80,128,,0.003358123622106223,PRUNED
23,2.611482620239258,2021-01-14 14:30:13.931517,2021-01-14 14:30:34.553899,0 days 00:00:20.622382,4,64,80,32,64.0,0.0027049077543067285,PRUNED
24,0.48456332087516785,2021-01-14 14:30:34.603206,2021-01-14 14:34:56.168950,0 days 00:04:21.565744,4,112,48,112,64.0,0.018325126603360987,PRUNED
25,3.0187456607818604,2021-01-14 14:34:56.220283,2021-01-14 14:35:16.139492,0 days 00:00:19.919209,3,64,112,96,,0.004180360407984315,PRUNED
26,2.537431240081787,2021-01-14 14:35:16.198521,2021-01-14 14:35:36.948171,0 days 00:00:20.749650,4,96,64,32,32.0,0.00243431293091308,PRUNED
27,2.1148412227630615,2021-01-14 14:35:37.002420,2021-01-14 14:35:57.051555,0 days 00:00:20.049135,3,112,64,112,,0.001274209864231736,PRUNED
28,0.4868007302284241,2021-01-14 14:35:57.100916,2021-01-14 14:40:04.842502,0 days 00:04:07.741586,3,112,48,32,,0.021620595236920205,PRUNED
29,1.7300535440444946,2021-01-14 14:40:04.891480,2021-01-14 14:40:24.483821,0 days 00:00:19.592341,3,224,64,32,,0.0008452808801895467,PRUNED
30,1.4508675336837769,2021-01-14 14:40:24.537322,2021-01-14 14:40:44.872367,0 days 00:00:20.335045,3,64,80,128,,0.007515731790104463,PRUNED
31,3.332974910736084,2021-01-14 14:40:44.924295,2021-01-14 14:41:05.876872,0 days 00:00:20.952577,4,96,48,128,64.0,0.00480102516062448,PRUNED
