number,value,datetime_start,datetime_complete,duration,params_#hidden,params_dense1,params_dense2,params_dense3,params_dense4,params_dropout,state
0,0.5612729787826538,2021-01-13 14:04:33.283718,2021-01-13 14:06:17.278607,0 days 00:01:43.994889,4,240,96,32,32.0,0.4,COMPLETE
1,0.2663886249065399,2021-01-13 14:06:17.366533,2021-01-13 14:12:33.099381,0 days 00:06:15.732848,3,176,112,32,,0.2,COMPLETE
2,0.2771306037902832,2021-01-13 14:12:33.182848,2021-01-13 14:17:57.615286,0 days 00:05:24.432438,3,160,48,32,,0.3,COMPLETE
3,0.26256826519966125,2021-01-13 14:17:57.716971,2021-01-13 14:24:13.200414,0 days 00:06:15.483443,3,128,96,80,,0.1,COMPLETE
4,0.27288228273391724,2021-01-13 14:24:13.280368,2021-01-13 14:30:25.066015,0 days 00:06:11.785647,3,208,128,32,,0.4,COMPLETE
5,0.48813921213150024,2021-01-13 14:30:25.164003,2021-01-13 14:30:38.124964,0 days 00:00:12.960961,3,256,48,32,,0.5,PRUNED
6,0.463180273771286,2021-01-13 14:30:38.159301,2021-01-13 14:30:51.531950,0 days 00:00:13.372649,3,48,80,128,,0.4,PRUNED
7,0.2955719232559204,2021-01-13 14:30:51.565478,2021-01-13 14:32:39.836292,0 days 00:01:48.270814,4,256,112,96,48.0,0.2,PRUNED
8,0.4433225095272064,2021-01-13 14:32:39.885984,2021-01-13 14:32:52.882344,0 days 00:00:12.996360,3,48,48,96,,0.4,PRUNED
9,0.2565009295940399,2021-01-13 14:32:52.918116,2021-01-13 14:39:17.249168,0 days 00:06:24.331052,3,240,112,128,,0.1,COMPLETE
10,0.5233704447746277,2021-01-13 14:39:17.346991,2021-01-13 14:39:32.079041,0 days 00:00:14.732050,4,224,64,32,32.0,0.3,PRUNED
11,0.35199955105781555,2021-01-13 14:39:32.117131,2021-01-13 14:39:45.607345,0 days 00:00:13.490214,3,128,32,80,,0.2,PRUNED
12,0.3240613043308258,2021-01-13 14:39:45.652560,2021-01-13 14:40:24.656843,0 days 00:00:39.004283,3,144,80,96,,0.2,PRUNED
13,0.7210363745689392,2021-01-13 14:40:24.696215,2021-01-13 14:40:38.473781,0 days 00:00:13.777566,3,192,32,32,,0.5,PRUNED
14,0.7661284804344177,2021-01-13 14:40:38.514062,2021-01-13 14:40:53.617844,0 days 00:00:15.103782,4,96,32,32,48.0,0.5,PRUNED
15,0.31469467282295227,2021-01-13 14:40:53.660585,2021-01-13 14:41:46.461404,0 days 00:00:52.800819,3,64,32,112,,0.1,PRUNED
16,0.3886650800704956,2021-01-13 14:41:46.498211,2021-01-13 14:42:02.093167,0 days 00:00:15.594956,4,240,128,128,32.0,0.3,PRUNED
17,0.5208438038825989,2021-01-13 14:42:02.131774,2021-01-13 14:42:16.064349,0 days 00:00:13.932575,3,208,32,96,,0.5,PRUNED
18,0.2847782373428345,2021-01-13 14:42:16.121797,2021-01-13 14:44:04.190803,0 days 00:01:48.069006,3,256,128,48,,0.2,PRUNED
19,0.39259377121925354,2021-01-13 14:44:04.227872,2021-01-13 14:44:18.733175,0 days 00:00:14.505303,4,224,32,64,32.0,0.2,PRUNED
20,0.3644241988658905,2021-01-13 14:44:18.769783,2021-01-13 14:44:34.144016,0 days 00:00:15.374233,4,48,64,112,16.0,0.2,PRUNED
21,0.5742824077606201,2021-01-13 14:44:34.203234,2021-01-13 14:44:48.529579,0 days 00:00:14.326345,4,112,32,64,64.0,0.4,PRUNED
22,0.4759448766708374,2021-01-13 14:44:48.567052,2021-01-13 14:45:03.596518,0 days 00:00:15.029466,4,32,96,64,16.0,0.4,PRUNED
23,0.38224509358406067,2021-01-13 14:45:03.634903,2021-01-13 14:45:18.233282,0 days 00:00:14.598379,4,80,48,64,32.0,0.2,PRUNED
24,0.33151254057884216,2021-01-13 14:45:18.273210,2021-01-13 14:45:45.501508,0 days 00:00:27.228298,3,32,64,48,,0.1,PRUNED
25,0.7197466492652893,2021-01-13 14:45:45.539794,2021-01-13 14:46:00.752064,0 days 00:00:15.212270,4,176,32,48,48.0,0.5,PRUNED
26,0.4955432713031769,2021-01-13 14:46:00.791721,2021-01-13 14:46:14.867458,0 days 00:00:14.075737,3,256,48,48,,0.5,PRUNED
27,0.29510828852653503,2021-01-13 14:46:14.905168,2021-01-13 14:48:02.501284,0 days 00:01:47.596116,3,32,112,48,,0.1,PRUNED
28,0.2577333450317383,2021-01-13 14:48:02.544199,2021-01-13 14:54:36.667650,0 days 00:06:34.123451,3,224,128,128,,0.1,COMPLETE
29,0.37989598512649536,2021-01-13 14:54:36.760213,2021-01-13 14:54:50.688442,0 days 00:00:13.928229,3,80,128,80,,0.4,PRUNED
30,0.3405713438987732,2021-01-13 14:54:50.726330,2021-01-13 14:55:05.059403,0 days 00:00:14.333073,3,256,128,112,,0.3,PRUNED
31,0.5843386054039001,2021-01-13 14:55:05.097579,2021-01-13 14:55:19.902113,0 days 00:00:14.804534,4,32,112,112,32.0,0.4,PRUNED
32,0.35219335556030273,2021-01-13 14:55:19.942975,2021-01-13 14:55:34.856094,0 days 00:00:14.913119,4,80,128,112,64.0,0.2,PRUNED
33,0.4195646047592163,2021-01-13 14:55:34.894533,2021-01-13 14:55:49.655666,0 days 00:00:14.761133,4,208,32,32,32.0,0.2,PRUNED
34,0.37448033690452576,2021-01-13 14:55:49.694894,2021-01-13 14:56:04.115707,0 days 00:00:14.420813,3,112,80,80,,0.3,PRUNED
35,0.4239594340324402,2021-01-13 14:56:04.176289,2021-01-13 14:56:18.767114,0 days 00:00:14.590825,4,160,112,32,16.0,0.4,PRUNED
36,0.3568854331970215,2021-01-13 14:56:18.805230,2021-01-13 14:56:33.272982,0 days 00:00:14.467752,4,176,128,48,32.0,0.2,PRUNED
37,0.4356110095977783,2021-01-13 14:56:33.309429,2021-01-13 14:56:47.907762,0 days 00:00:14.598333,4,96,128,96,64.0,0.4,PRUNED
38,0.35830792784690857,2021-01-13 14:56:47.947079,2021-01-13 14:57:02.486324,0 days 00:00:14.539245,4,176,128,32,64.0,0.2,PRUNED
39,0.25794339179992676,2021-01-13 14:57:02.524895,2021-01-13 15:03:39.486034,0 days 00:06:36.961139,3,224,96,128,,0.1,COMPLETE
40,0.3463398814201355,2021-01-13 15:03:39.589623,2021-01-13 15:03:53.470910,0 days 00:00:13.881287,3,192,128,48,,0.3,PRUNED
41,0.4023704528808594,2021-01-13 15:03:53.510139,2021-01-13 15:04:08.349981,0 days 00:00:14.839842,4,192,48,128,64.0,0.3,PRUNED
42,0.4706191122531891,2021-01-13 15:04:08.388721,2021-01-13 15:04:23.487035,0 days 00:00:15.098314,4,208,96,112,32.0,0.5,PRUNED
43,0.2705758810043335,2021-01-13 15:04:23.525372,2021-01-13 15:07:49.594902,0 days 00:03:26.069530,3,256,64,64,,0.1,PRUNED
44,0.37876731157302856,2021-01-13 15:07:49.636826,2021-01-13 15:08:03.039836,0 days 00:00:13.403010,3,32,128,128,,0.3,PRUNED
45,0.3315642774105072,2021-01-13 15:08:03.082258,2021-01-13 15:08:17.389799,0 days 00:00:14.307541,4,160,112,64,48.0,0.1,PRUNED
46,0.39511457085609436,2021-01-13 15:08:17.439332,2021-01-13 15:08:31.135604,0 days 00:00:13.696272,3,48,80,112,,0.3,PRUNED
47,0.6062349081039429,2021-01-13 15:08:31.180866,2021-01-13 15:08:46.961234,0 days 00:00:15.780368,4,80,112,32,64.0,0.5,PRUNED
48,0.5212033987045288,2021-01-13 15:08:47.002489,2021-01-13 15:09:01.852656,0 days 00:00:14.850167,4,64,32,96,16.0,0.5,PRUNED
49,0.2765553295612335,2021-01-13 15:09:01.890660,2021-01-13 15:11:22.984158,0 days 00:02:21.093498,3,192,48,96,,0.1,PRUNED
